"Trade Name (Agent)",Sponsor,"Date of BT Designation Disclosure","Approval Date",Indication,Category,"FDA Status"
"Enhertu (fam-trastuzumab deruxtecan-nxki)","Daiichi Sankyo Co.",5/08/2019,12/20/2019,"Adults with unresectable (unable to be removed with surgery) or metastatic (when cancer cells spread to other parts of the body) HER2-positive breast cancer who have received two or more prior anti-HER2-based regimens in the metastatic setting",Cancer,"FDA Approval"
"Oxbryta (voxelotor)","Global Blood Therapeutics, Inc.",1/09/2018,11/25/2019,"Sickle cell disease (SCD) in patients 12 years and older","Rare Inherited Disorders","FDA Approval"
"Lenvima (lenvatinib)","Eisai Co.",8/01/2018,9/17/2019,"In combination with pembrolizumab for the treatment of patients with previously advanced endometrial carcinoma that is not MSI-H or dMMR, who have disease progression following prior systemic therapy and are not candidates for surgery or radiation",Cancer,"FDA Approval"
"Keytruda (pembrolizumab)","Merck Sharp & Dohme Corp",8/01/2018,9/17/2019,"In combination with lenvatinib for the treatment of patients with advanced endometrial carcinoma that is not MSI-H or dMMR, who have disease progression following prior systemic therapy and are not candidates for surgery or radiation",Cancer,"FDA Approval"
"Ibrance (palbociclib)","Pfizer Inc.",2017,4/04/2019,"In combination with an aromatase inhibitor, or in combination with fulvestrant, for treatment of male patients with advanced or metastatic breast cancer",Cancer,"FDA Approval"
"Balversa (erdafitinib)","Janssen Biotech, Inc.",3/15/2018,4/12/2019,"Adult patients with locally advanced or metastatic urothelial carcinoma (mUC) that has susceptible FGFR3 or FGFR2 genetic alterations and progressed during at least on line of platinum-containing chemotherapy",Cancer,"FDA Approval"
"Keytruda (pembrolizumab)","Merck Sharpe & Dohme Corp.",12/10/2017,4/19/2019,"In combination with axitinib for the first-line treatment of patients with advanced renal cell carcinoma (RCC)",Cancer,"FDA Approval"
"Vyndaquel (tafamidis meglumine)","Foldrx Pharmaceuticals, Inc. Sub. Pfizer, Inc.",5/24/2018,5/03/2019,"Patients with cardiomyopathy of wild-type or hereditary transthyretin-mediated amyloidosis (ATTR-CM) in adults to reduce cardiovascular mortality and cardiovascular related hospitalization",Other,"FDA Approval"
"Kadcyla (ado-trastuzumab emtansine)","Genentech Inc.",2/05/2019,5/03/2019,"Adjuvant treatment of patients with HER2-positive early breast cancer who have residual disease after neoadjuvant taxane and trastuzumab-based treatment",Cancer,"FDA Approval"
"Bavencio (avelumab)","EMD Serono Inc.",12/22/2017,5/14/2019,"In combination with Inlyta (axitinib) for first-line treatment of patients with advanced renal cell carcinoma (RCC)",Cancer,"FDA Approval"
"Venclexta (venetoclax)","AbbVie Inc.",3/15/2019,5/15/2019,"In combination with obinutuzumab for treatment of previously untreated patients with chronic lymphocytic leukemia (1L CLL) or small lymphocytic lymphoma (SLL)",Cancer,"FDA Approval"
"Emgality (galcanezumab)","Eli Lilly & Company",11/15/2018,6/04/2019,"Episodic cluster headache in adults","Rare Inherited Disorders","FDA Approval"
"Polivy (polatuzumab vedotin-piiq)","Genentech, Inc.",12/10/2017,6/10/2019,"In combination with bendamustine and a rituximab product for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma, not otherwise specified, after at least two prior therapies",Cancer,"FDA Approval"
"Turalio (pexidartinib)","Daiichi Sankyo",10/30/2015,8/02/2019,"Adult patients with symptomatic tenosynovial giant cell tumor (TGCT) associated with severe morbidity or functional limitations and not amenable to improvement with surgery",Cancer,"FDA Approval"
"Rozlytrek (entrectinib)","Genentech, Inc.",5/15/2017,8/15/2019,"Adult and pediatric patients 12 years of age and older with solid tumors that have a NTRK gene fusion without a known acquired resistance mutation, are metastatic, and have progressed following treatment or have no alternative treatment option",Cancer,"FDA Approval"
"Actemra (tocilizumab)","Genentech Inc.",10/05/2016,5/22/2017,"Adult patients with giant cell arteritis (GCA)","Rare Inherited Disorders","FDA Approval"
"Keytruda (pembrolizumab)","Merck Sharp & Dohme Corp.",2017,5/18/2017,"Patients with locally advanced or metastatic urothelial carcinoma who have disease progression during or following platinum-containing chemotherapy or within 12 months of neo- or neo-adjuvant treatment with platinum-containing chemotherapy",Cancer,"FDA Approval"
"Kisqali Femara Co-Pack (letrozole and ribociclib)","Novartis Pharmaceuticals Corp.",8/02/2016,5/04/2017,"Postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced metastatic breast cancer",Cancer,"FDA Approval"
"Imfinzi (durvalumab)",AstraZeneca,2/16/2016,5/01/2017,"Patients with locally advanced or metastatic urothelial carcinoma who have disease progression during or following platinum-containing chemotherapy or have disease progression within 12 months of neo- or adjuvant treatment with platinum-containing chemo",Cancer,"FDA Approval"
"Keytruda (pembrolizumab)","Merck Sharp & Dohme Corp.",2017,5/23/2017,"Adult and pediatric patients with unresectable or metastatic MSI-H or mismatch repair deficient solid tumors that have progressed following prior treatment or metastatic, MSI-H or mistmatch repair colorectal cancer that has progressed following treatment",Cancer,"FDA Approval"
"Zykadia (ceritinib)","Novartis Pharmaceuticals Corp.",2017,5/26/2017,"Patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA approved test",Cancer,"FDA Approval"
"Mekinist (trametinib)","Novartis Pharmaceuticals Corp.",2017,6/22/2017,"Patients with metastatic non-small cell lung cancer (NSCLC) with BRAF V600E mutation as detected by and FDA-approved test",Cancer,"FDA Approval"
"Tafinlar (dabrafenib)","Novartis Pharmaceuticals Corp.",7/24/2015,6/22/2017,"Patients with metastatic non-small cell lung cancer (NSCLC) with BRAF V600E mutation as detected by and FDA-approved test",Cancer,"FDA Approval"
"Imbruvica (ibrutinib)","Pharmacyclics LLC",6/29/2016,8/02/2017,"Adult patients with chronic graft-versus-host-disease (cGVHD) after failure of one or more lines of systemic therapy","Infectious Disease","FDA Approval"
"VYXEOS (cytarabine and daunorubicin)","Celator Pharmaceuticals Inc.",5/20/2016,8/03/2017,"Adult patients with newly-diagnosed therapy-related acute myeloid leukemia (t-AML) or AML with myelodysplasia-related changes (AML-MRC)",Cancer,"FDA Approval"
"Mavyret (glecaprevir & pibrentasvir)","AbbVie Inc.",9/30/2016,8/03/2017,"Patients with chronic hepatitis C virus (HCV) genotype (GT) 1, 2, 3, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis; and also for patients with HCV GT1 infection previously treated w/ HCV NS5A or NS3/4A inhibitor but not both","Infectious Disease","FDA Approval"
"Rydapt (midostaurin)","Novartis Pharmaceuticals Corp.",1/29/2016,4/28/2017,"Adult patients with newly diagnosed acute myeloid leukemia (AML) that is FLT3 mutation-positive, as detected by an FDA-approved test, in combination with standard cytarabine and daunorubicin induction and cytarabine consolidation",Cancer,"FDA Approval"
"Alunbrig (brigatinib)","Ariad Pharmaceuticals Inc.",10/01/2014,4/28/2017,"Patients with anaplastic lymphoma kinase (ALK)-positive mestastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib",Cancer,"FDA Approval"
"Ingrezza (valbenazine)","Neurocrine Biosciences Inc.",10/30/2014,4/11/2017,"Patients with tardive dyskinesia",Other,"FDA Approval"
"Darzalex (daratumumab)","Janssen Biotech Inc.",7/26/2016,11/21/2016,"Patients with multiple myeloma who have received at least one prior therapy, in combination with bortezomib and dexamethasone",Cancer,"FDA Approval"
"Rubraca (rucaparib)","Clovis Oncology Inc.",4/06/2016,12/19/2016,"Patients with deleterious BRCA mutation (germline and/or somatic) associated advanced ovarian cancer who have been treated with two or more chemotherapies",Cancer,"FDA Approval"
"Opdivo (nivolumab)","Bristol-Myers Squibb Company",6/27/2016,2/02/2017,"Patients with locally advanced or metastatic urothelial carcinoma in patients who have disease progression during or following platinum-containing chemotherapy; have disease progression within 12 months neo- or neoadjuvant treatment with platinum chemo",Cancer,"FDA Approval"
"Kisqali (ribociclib)","Novartis Pharmaceuticals Corp.",8/03/2016,3/13/2017,"Postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer as initial endocrine-based therapy",Cancer,"FDA Approval"
"Keytruda (pembrolizumab)","Merck Sharp & Dohme Corp.",4/18/2016,3/14/2017,"Patients with hematological malignancies: Hodgkin Lymphoma",Cancer,"FDA Approval"
"Bavencio (avelumab)","EMD Serono Inc.",11/18/2015,3/23/2017,"Adult and pediatric patients 12 years and older with metastatic Merkel cell carcinoma (MCC)",Cancer,"FDA Approval"
"Zejula (niraparib)","Tesaro Inc.",10/14/2016,3/27/2017,"Maintenance treatment of adult patients with recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in a complete or partial response to platinum-based chemotherapy",Cancer,"FDA Approval"
"Dupixent (dupilumab)","Regeneron Pharmaceuticals Inc.",11/20/2014,3/28/2017,"Adult patients with moderate-to-severe atopic dermatitis (AD) whose disease is not adequately controlled with topical prescription therapies or when those therapies are not advisable",Other,"FDA Approval"
"Ocrevus (ocrelizumab)","Genentech Inc.",2/17/2016,3/28/2017,"Adult patients with primary progressive forms of multiple sclerosis","Rare Inherited Disorders","FDA Approval"
"Ibrance (palbociclib)","Pfizer Inc.",2017,3/31/2017,"Postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer, in combination with an aromatase inhibitor as initial endocrine-based therapy",Cancer,"FDA Approval"
"Brineura (cerliponase alfa)","Biomarin Pharmaceutical Inc.",8/27/2015,4/27/2017,"Pediatric patients 3 years of age and older with late infantile neuronal ceroid lipofuscinosis type 2 (CLN2), also known as tripeptidyl peptidase 1 (TPP1) deficiency","Rare Inherited Disorders","FDA Approval"
"Besponsa (inotuzumab ozogamicin)","Wyeth Pharmaceuticals LLC",2017,8/17/2017,"Adult patients with relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL)",Cancer,"FDA Approval"
"Opdivo (nivolumab)","Bristol-Myers Squibb Company",2/16/2018,4/16/2018,"In combination with ipilimumab, for treatment of patients with intermediate or poor risk, previously untreated advanced renal cell carcinoma (RCC",Cancer,"FDA Approval"
"Yervoy (ipilimumab)","Bristol-Myers Squibb Company",2/16/2018,4/16/2018,"In combination with nivolumab, for treatment of patients with intermediate or poor risk, previously untreated advanced renal cell carcinoma (RCC)",Cancer,"FDA Approval"
"Crysvita (burosumab)","Kyowa Kirin Inc.",6/28/2016,4/17/2018,"Patients aged 1 year and older with x-linked hypophosphatemia (XLH)","Rare Inherited Disorders","FDA Approval"
"Tagrisso (osimertinib)",AstraZeneca,10/09/2017,4/18/2018,"First-line treatment of patients with metastatic NSCLC whose tumors have EGFR exon 19 deletions of L858R substitution mutations, as detected by an FDA approved test",Cancer,"FDA Approval"
"Tafinlar (dabrafenib)","Novartis Pharmaceuticals Corp.",10/23/2017,4/30/2018,"In combination with trametinib for the adjuvant treatment of patients with stage III melanoma with a BRAF V600E or V600K mutation, as detected by and FDA-approved test, and involvement of lymph node(s), following complete resection",Cancer,"FDA Approval"
"Mekinist (trametinib)","Novartis Pharmaceuticals Corp.",10/23/2017,4/30/2018,"In combination with dabrafenib for the adjuvant treatment of patients with stage III melanoma with a BRAF V600E or V600K mutation, as detected by and FDA-approved test, and involvement of lymph node(s), following complete resection",Cancer,"FDA Approval"
"Mekinist (trametinib)","Novartis Pharmaceuticals Corp.",10/23/2017,5/04/2018,"In combination with dabrafenib  for the treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation and with no satisfactory locoregional treatment options",Cancer,"FDA Approval"
"Tafinlar (dabrafenib)","Novartis Pharmaceuticals Corp.",10/23/2017,5/04/2018,"In combination with trametinib for the treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation and with no satisfactory locoregional treatment options",Cancer,"FDA Approval"
"Gilenya (fingolimod)","Novartis Pharmaceuticals Corp.",12/18/2017,5/11/2018,"Patients with relapsing multiple sclerosis (MS) to include pediatric patients 10 years of age and above","Rare Inherited Disorders","FDA Approval"
"Rituximab (Rituxan)","Genentech Inc.",3/24/2017,6/07/2018,"Patients with moderate to severe pemphigus vulgaris (PV)","Rare Inherited Disorders","FDA Approval"
"Venclexta (venetoclax)","AbbVie Inc.",2018,6/08/2018,"Patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma, with or without 17p deletion, who have received at least one prior therapy",Cancer,"FDA Approval"
"Adcetris (brentuximab vedotin)","Seattle Genetics Inc.",10/15/2017,3/20/2018,"Treatment for adult patients with previously untreated Stage III or IV classical Hodgkin Lymphoma, in combination with chemotherapy",Cancer,"FDA Approval"
"Austedo (deutetrabenazine)","Teva Branded Pharmaceutical Products R and D Inc.",11/09/2015,8/30/2017,"Patients with tardive dyskinesia",Other,"FDA Approval"
"Verzenio (abemaciclib)","Eli Lilly and Co.",10/08/2015,9/28/2017,"Patients with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting",Cancer,"FDA Approval"
"Calquence (acalabrutinib)",AstraZeneca,8/01/2017,10/31/2017,"Adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy",Cancer,"FDA Approval"
"Alecensa (alectinib)","Hoffman-La Roche Inc.",9/23/2013,11/06/2017,"Patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test",Cancer,"FDA Approval"
"Zelboraf (vemurafenib)","Hoffmann La Roche Inc.",8/07/2017,11/06/2017,"Patients with Erdheim-Chester disease (ECD) with a BRAF V600 mutation",Other,"FDA Approval"
"Prevymis (letermovir)","Merck Sharp & Dohme Corp.",2/27/2017,11/08/2017,"Prophylaxis of cytomegalovirus (CMV) infection and disease in adult CMV-seropositive recipients [R+] of an allogeneic hematopoietic stem cell transplant (HSCT)","Infectious Disease","FDA Approval"
"Adcetris (brentuximab vedotin)","Seattle Genetics Inc.",10/02/2017,11/09/2017,"Patients with primary cutaneous anaplastic large cell lymphoma or CD30-expressing mycosis fungoides who have received prior systemic therapy",Cancer,"FDA Approval"
"Hemlibra (emicizumab-kxwh)","Genentech Inc.",9/04/2015,11/16/2017,"Prophylaxis to prevent or reduce the frequency of bleeding episodes in adult and pediatric patients with hemophilia A with factor VIII inhibitors","Rare Inherited Disorders","FDA Approval"
"Opdivo (nivolumab)","Bristol-Myers Squibb Company",10/17/2017,12/20/2017,"Adjuvant treatment of patients with melanoma with involvement of lymph nodes or metastatic disease who have undergone complete resection",Cancer,"FDA Approval"
"Symdeko (tezacaftor and ivacaftor)","Vertex Pharmaceuticals Inc.",1/28/2014,2/12/2018,"Patients with cystic fibrosis aged 12 year and older who are homozygous for the F508del mutation who have at least one mutation in the CTFR gene that is responsive to Symdeko based on in vitro data or clinical evidence","Rare Inherited Disorders","FDA Approval"
"Imfinzi (durvalumab)",AstraZeneca,7/31/2017,2/16/2018,"Patients with unresectable Stage III non-small cell lung cancer (NSCLC) whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy",Cancer,"FDA Approval"
"Trogarzo (ibalizumab)","Theratechnologies Inc.",2/27/2015,3/06/2018,"Treatment of human immunodeficiency virus type 1 (HIV-1) infection in heavily treatment-experienced adults with multidrug resistant HIV-1 infection failing their current antiretroviral regimen","Infectious Disease","FDA Approval"
"Ibrance (palbociclib)","Pfizer Inc.",4/10/2013,2/03/2015,"Postmenopausal women with estrogen receptor (ER)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced metastatic breast cancer as initial endocrine-based therapy for their metastatic disease",Cancer,"FDA Approval"
"Kalydeco (ivacaftor)","Vertex Pharmaceuticals Inc.",2014,12/29/2014,"Patients age 6 years and older with cystic fibrosis who have the R117H mutation in the CF transmembrane conductance regulator (CTFR gene)","Rare Inherited Disorders","FDA Approval"
"Opdivo (nivolumab)","Bristol-Myers Squibb Company",2/15/2013,12/22/2014,"Patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor",Cancer,"FDA Approval"
"Viekira Pak (ombitasvir, paritaprevir, ritonavir)","AbbVie Inc.",5/06/2013,12/19/2014,"Patients with genotype 1 chronic hepatitis C virus (HCV) infection including those with compensated cirrhosis","Infectious Disease","FDA Approval"
"Blincyto (blinatumomab)","Amgen Inc.",7/01/2014,12/03/2014,"Patients with Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL)",Cancer,"FDA Approval"
"Xuriden (uridine triacetate)","Wellstat Therapeutics Corp.",4/30/2014,9/04/2015,"Patients with hereditary orotic aciduria","Rare Inherited Disorders","FDA Approval"
"Lucentis (ranibizumab)","Genentech Inc.",12/15/2014,2/06/2015,"Treatment of Diabetic Retinopathy (DR) in patients with Diabetic Macula Edema (DME)",Other,"FDA Approval"
"Kalydeco (ivacaftor)","Vertex Pharmaceuticals Inc.",12/15/2012,3/17/2015,"Patients 2 years and older with cystic fibrosis and have that one of the following CFTR gene mutations: G551D, G1244E, G1349D, G178R, G551S, S1251N, S1255P, S549N, S549R, R117H","Rare Inherited Disorders","FDA Approval"
"Eylea (aflibercept)","Regeneron Pharmaceuticals Inc.",9/16/2014,3/25/2015,"Treatment of diabetic retinopathy (DR) in patients with diabetic macular edema (DME)",Other,"FDA Approval"
"Orkambi (lumacaftor and ivacaftor)","Vertex Pharmaceuticals Inc.",1/29/2014,7/02/2015,"Patients 12 years and older with cystic fibrosis who are homozygous for the F508del mutation in the CFTR gene","Rare Inherited Disorders","FDA Approval"
"Technivie (ombitasvir, paritaprevir, ritonavir)","AbbVie Inc.",6/30/2014,7/24/2015,"Patients with genotype 4 chronic hepatitis C viruse (HCV) infection without cirrhosis","Infectious Disease","FDA Approval"
"Esbriet (pirfenidone)","Genentech Inc.",7/17/2014,10/15/2014,"Patients with idiopathic pulmonary fibrosis (IPF)",Other,"FDA Approval"
"Ofev (nintedanib)","Boehringer Ingelheim Pharmaceuticals Inc.",7/16/2014,10/15/2014,"Patients with idiopathic pulmonary fibrosis (IPF)",Other,"FDA Approval"
"Harvoni (sofosbuvir/ledipasvir)","Gilead Sciences Inc.",7/25/2013,10/10/2014,"Patients with chronic hepatitis C, genotype 1 infection","Infectious Disease","FDA Approval"
"Keytruda (pembrolizumab)","Merck Sharpe & Dohme Corp.",7/15/2019,,"Patients with hepatocellular carcinoma",Cancer,"Designation Granted"
"Cibinqo (Abrocitinib)","Pfizer Inc.",2/14/2018,1/14/2022,"Treatment of adults with refractory, moderate-to-severe atopic dermatitis whose disease is not adequately controlled with other systemic drug products, including biologics, or when use of those therapies is inadvisable",Other,"FDA Approval"
Exebacase,"ContraFect Corporation",2/24/2020,,"Patients with MRSA bacteremia, including right-sided endocarditis, when used in conjunction with standard of care antibiotics","Infectious Disease","Designation Granted"
"Braftovi (encorafenib)","Array BioPharma Inc.",2019,4/08/2020,"In combination with cetuximab for the treatment of adult patients with metastatic colorectal cancer (CRC) with a BRAF V600E mutation, detected by an FDA-approved test, after prior therapy",Cancer,"FDA Approval"
"Gazyva (obinutuzumab)","Genentech Inc.",5/15/2013,11/01/2013,"Patients with previously untreated chronic lymphocytic leukemia in combination with chlorambucil",Cancer,"FDA Approval"
"Arzerra (ofatumumab)","Novartis Pharmaceuticals Corp.",9/13/2013,4/17/2014,"Previously untreated patients with chronic lymphocytic leukemia (CLL) for whom fludarabine-based therapy is considered inappropriate",Cancer,"FDA Approval"
"Zydelig (idelalisib)","Gilead Sciences Inc.",11/18/2013,7/23/2014,"Patients with relapsed chronic lymphocytic leukemia, in combination with rituximab, in patients for whom rituximab alone would be considered appropriate therapy due to other co-morbidities",Cancer,"FDA Approval"
"Imbruvica (ibrutinib)","Pharmacyclics LLC",4/08/2013,7/28/2014,"Patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy and CLL with 17p deletion",Cancer,"FDA Approval"
"Promacta (eltrombopag)","Novartis Pharmaceuticals Corp.",2/03/2014,8/26/2014,"Cytopenias in patients with severe aplastic anemia who have had an insufficient response to immunosuppressive therapy ",Other,"FDA Approval"
"Keytruda (pembrolizumab)","Merck Sharp & Dohme Corp",2014,9/04/2014,"Patients with unresectable or metastatic melanoma & disease progression following ipilimumab and, if BRAF V600 mutation positibr, a BRAF inhibitor",Cancer,"FDA Approval"
"Sovaldi (sofosbuvir)","Gilead Sciences Inc.",10/25/2013,12/06/2013,"Patients with chronic hepatitis C infection","Infectious Disease","FDA Approval"
"Keytruda (pembrolizumab)","Merck Sharp & Dohme Corp.",10/27/2014,10/02/2015,"Patients with metastatic, PD-L1 positive, non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, with disease progression on or after platinum-containing chemotherapy",Cancer,"FDA Approval"
"Opdivo (nivolumab)","Bristol-Myers Squibb Company",5/14/2014,5/17/2016,"Patients with Hodgkin Lymphoma",Cancer,"FDA Approval"
"Tecentriq (atezolizumab)","Genentech Inc.",5/22/2014,5/18/2016,"Patients with locally advanced or metastatic urothelial carcinoma who have disease progression during or following platinum-containing chemotherapy or within 12 months of neo- or adjuvant treatment with platinum-containing chemotherapy",Cancer,"FDA Approval"
"Epclusa (sofosbuvir and velpatasvir)","Gilead Sciences Inc.",10/28/2015,6/28/2016,"Adult patients with chronic hepatitis C virus (HCV) genotypes 1,2,3,4,5, or 6 infection: -without cirrhosis or with compensated cirrhosis -with decompensated cirrhosis for use in combination with ribavirin","Infectious Disease","FDA Approval"
"Ilaris (canakinumab)","Novartis Pharmaceuticals Corp.",4/27/2016,9/23/2016,"Patients with Tumor Necrosis Factor-Receptor Associated Periodic Syndrome (TRAPS)","Rare Inherited Disorders","FDA Approval"
"Darzalex (daratumumab)","Janssen Biotech Inc.",2016,11/21/2016,"Patients with multiple myeloma who have received at least one prior therapy, in combination with lenalidomide and dexamethasone",Cancer,"FDA Approval"
"Ilaris (canakinumab)","Novartis Pharmaceuticals Corp.",4/27/2016,9/23/2016,"Patients with Familial Mediterranean Fever (FMF)","Rare Inherited Disorders","FDA Approval"
"Orkambi (lumacaftor and ivacaftor)","Vertex Pharmaceuticals Inc.",2016,9/28/2016,"Patients ages 6-11 with cystic fibrosis who are homozygous for the F508del mutation in the CFTR gene","Rare Inherited Disorders","FDA Approval"
"Tecentriq (atezolizumab)","Genentech Inc.",5/31/2014,10/18/2016,"Patients with metastatic non-small cell lung cancer who have disease progression during or following platinum-containing chemotherapy",Cancer,"FDA Approval"
"Lartruvo (olaratumab)","Eli Lilly and Company",6/08/2015,10/19/2016,"Patients with soft tissue sarcoma (STS) with a histologic subtype, in combination with doxorubicin, for which an anthracycline-containing regimen is appropriate and which is not amenable to curative treatment with radiotherapy or surgery",Cancer,"FDA Approval"
"Opdivo (nivolumab)","Bristol-Myers Squibb Company",4/25/2016,11/10/2016,"Patients with recurrent or metastatic squamous cell carcinoma of the head and neck (SCCHN) with disease progression on or after platinum based therapy",Cancer,"FDA Approval"
"Zepatier (grazoprevir and elbasvir)","Merck Sharp & Dohme Corp.",4/08/2015,1/28/2016,"Adult patients with chronic hepatitis C virus (HCV) genotypes 1 and 4 infections","Infectious Disease","FDA Approval"
"Lenvima (lenvatinib mesylatel)","Eisai Inc.",7/29/2015,5/13/2016,"Patients with renal cell carcinoma (RCC): in combination with evorlimus, for patients with advanced RCC following one prior anti-angiogenic therapy",Cancer,"FDA Approval"
"Nuplazid (pimavanserin)","Acadia Pharmaceuticals Inc.",9/02/2014,4/29/2016,"Patients with hallucinations and delusions associated with Parkinson's disease psychosis",Other,"FDA Approval"
"Praxbind (idarucizumab)","Boehringer Ingelheim Pharmaceuticals Inc.",6/26/2014,10/16/2015,"Patients treated with Pradaxa when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures and in life-threatening or uncontrolled bleeding",Other,"FDA Approval"
"Strensiq (asfotase alfa)","Alexion Pharmaceuticals Inc.",5/28/2013,10/23/2015,"Patients with perinatal/infantile- and juvenile-onset hypophosphatasia (HPP)","Rare Inherited Disorders","FDA Approval"
"Tagrisso (osimertinib) ",AstraZeneca,4/24/2014,11/13/2015,"Patients with metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive-non-small-cell lung cancer (NSCLC), as detected by and FDA approved test who have progressed on or after EGFR TKI therapy",Cancer,"FDA Approval"
"Darzalex (daratumumab)","Janssen Biotech Inc.",5/01/2013,11/16/2015,"Patients with multiple myeloma who have received at least 3 prior lines of therapy including a proteasome inhibitor and an immunomodulatory agent or are double refractory to a proteasome inhibitor and an immunomodulatory agent",Cancer,"FDA Approval"
"Opdivo (nivolumab)","Bristol-Myers Squibb Company",9/16/2015,11/23/2015,"Patients with advanced renal cell carcinoma who have received prior antiangiogenic therapy",Cancer,"FDA Approval"
"Empliciti (elotuzumab)","Bristol-Myers Squibb Company",5/19/2014,11/30/2015,"Patients with multiple myeloma who have received one to three prior therapies",Cancer,"FDA Approval"
"Kanuma (sebelipase alfa)","Alexion Pharmaceuticals Inc.",5/20/2013,12/08/2015,"Patients with a diagnosis of lysosomal acid lipase (LAL) deficiency","Rare Inherited Disorders","FDA Approval"
"Alecensa (alectinib)","Hoffman La Roche Inc.",6/15/2013,12/11/2015,"Patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC), who have progressed on or are intolerant to crizotinib",Cancer,"FDA Approval"
"Ilaris (canakinumab)","Novartis Pharmaceuticals Corp.",4/27/2016,9/23/2016,"Patients with Hyperimmunoglobulin D Syndrome (HIDS)","Rare Inherited Disorders","FDA Approval"
"Venclexta (venetoclax)","AbbVie Inc.",5/06/2015,4/11/2016,"Patients with chronic lymphocytic leukemia (CLL) with 17p deletion who have received at least one prior therapy",Cancer,"FDA Approval"
"Cabotetyx (cabozantinib)","Exelixis Inc.",8/24/2015,4/25/2016,"Patients with advanced renal cell carcinoma (RCC) who have received prior anti-angiogenic therapy",Cancer,"FDA Approval"
"Pemazyre (pemigatinib)","Incyte Corporation",2020,2020,"Treatment of adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement as detected by an FDA-approved test",Cancer,"FDA Approval"
"Jelmyto (mitomycin)","UroGen Pharma",10/31/2018,4/15/2020,"Treatment of adult patients with lowgrade upper tract urothelial cancer",Cancer,"FDA Approval"
"Opdivo (nivolumab)","Bristol-Myers Squibb Company",2020,3/10/2020,"In combination with ipilimumab, for the treatment of patients with hepatocellular carcinoma (HCC) who have been previously treated with sorafenib",Cancer,"FDA Approval"
"Yervoy (ipilimumab)","Bristol-Myers Squibb Company",11/11/2019,3/10/2020,"In combination with nivolumab, for the treatment of patients with hepatocellular carcinoma (HCC) who have been previously treated with sorafenib",Cancer,"FDA Approval"
"Retevmo (selpercatinib)","Loxo Oncology, Inc.",10/15/2018,5/08/2020,"Patients with metastatic, RET-fusion-positive non-small-cell lung cancer (NSCLC) who require systemic therapy and progressed following anti PD-L1 therapy or platinum-based chemotherapy plus an anti-PD-1 therapy",Cancer,"FDA Approval"
"TABRECTA (capmatinib)","Novartis Pharmaceuticals Corporation",9/06/2019,5/06/2020,"Treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have a mutation that leads to mesenchymal-epithelial transition (MET) exon 14 skipping as detected by an FDA-approved test",Cancer,"FDA Approval"
"Sacituzumab Govitecan-hziy","Immunomedics INC",2/05/2016,4/22/2020,"Treatment of adult patients with metastatic triple-negative breast cancer (mTNBC) who have received at least two prior therapies for metastatic disease",Cancer,"FDA Approval"
CTP-543,"Concert Pharmaceuticals",7/08/2020,,"Treatment of Alopecia Areata","Rare Inherited Disorders","Designation Granted"
"Ofev (nintedanib)","Boehringer Ingelheim Pharmaceuticals",10/10/2019,3/09/2020,"Chronic fibrosing interstitial lung diseases (ILDs) with a progressive phenotype","Rare Inherited Disorders","FDA Approval"
